Venue Name *,Region *,Contact First Name *,Contact Last Name *,Contact Phone Number *,Contact Email Address *,Neighborhood *,Specialties (comma-separated),Cuisines (comma-separated),Monday Start Time (HH:MM),Monday End Time (HH:MM),Tuesday Start Time (HH:MM),Tuesday End Time (HH:MM),Wednesday Start Time (HH:MM),Wednesday End Time (HH:MM),Thursday Start Time (HH:MM),Thursday End Time (HH:MM),Friday Start Time (HH:MM),Friday End Time (HH:MM),Saturday Start Time (HH:MM),Saturday End Time (HH:MM),Sunday Start Time (HH:MM),Sunday End Time (HH:MM)
KM1,Ibiza,Kevin ,Dash ,17865147601,Prima+KM1@primavip.co,San José,,"Spanish, Grill",,,,,,,,,,,,,,
Es Boldado,Ibiza,Kevin ,Dash ,17865147601,prima+EsBoldado@primavip.co,San José,Sunset view,"Seafood, Spanish",,,,,,,,,,,,,,
Macao Café,Ibiza,Kevin ,Dash ,17865147601,prima+MacaoCafe@primavip.co,Santa Gertrudis,,Italian,,,,,,,,,,,,,,
El Chiringuito Es Cavallet,Ibiza,Kevin ,Dash ,17865147601,prima+ElChiringuito@primavip.co,San José,On the Beach,"Mediterranean, Seafood",,,,,,,,,,,,,,
Montesol Rooftop,Ibiza,Kevin ,Dash ,17865147601,prima+MontesolRooftop@primavip.co,Ibiza Town,Rooftop,"Mediterranean, International",,,,,,,,,,,,,,
La Paloma,Ibiza,Kevin ,Dash ,17865147601,prima+LaPaloma@primavip.co,San Juan,Farm-to-Table,"Mediterranean, Italian",,,,,,,,,,,,,,
Camí de Balàfia,Ibiza,Kevin ,Dash ,17865147601,prima+CamídeBalafia@primavip.co,San Juan,,"Spanish, Grill",,,,,,,,,,,,,,
Overall,Ibiza,Kevin ,Dash ,17865147601,prima+Overall@primavip.co,Santa Gertrudis,,"International, Fusion",,,,,,,,,,,,,,
Juls,Ibiza,Kevin ,Dash ,17865147601,prima+Juls@primavip.co,San José,Live Music/DJ,"Mediterranean, Greek",,,,,,,,,,,,,,
LAYLAH,Ibiza,Kevin ,Dash ,17865147601,prima+LAYLAH@primavip.co,Ibiza Town,Live Music/DJ,"Mediterranean, Middle Eastern",,,,,,,,,,,,,,
Casa Lhasa,Ibiza,Kevin ,Dash ,17865147601,prima+CasaLhasa@primavip.co,San Juan,,"Spanish, Mediterranean",,,,,,,,,,,,,,
Nagai,Ibiza,Kevin ,Dash ,17865147601,prima+Nagai@primavip.co,San Juan,,"Japanese, Fusion",,,,,,,,,,,,,,
Aubergine Ibiza,Ibiza,Kevin ,Dash ,17865147601,prima+AubergineIbiza@primavip.co,Santa Gertrudis,Farm-to-Table,Mediterranean,,,,,,,,,,,,,,
Hämbre,Ibiza,Kevin ,Dash ,17865147601,prima+Hambre@primavip.co,Santa Eulalia,Farm-to-Table,Mediterranean,,,,,,,,,,,,,,
Amante,Ibiza,Kevin ,Dash ,17865147601,prima+Amante@primavip.co,Santa Eulalia,On the Beach,Mediterranean,,,,,,,,,,,,,,
Ses Boques,Ibiza,Kevin ,Dash ,17865147601,prima+SesBoques@primavip.co,San José,On the Beach,"Seafood, Spanish",,,,,,,,,,,,,,
Unic,Ibiza,Kevin ,Dash ,17865147601,prima+Unic@primavip.co,San José,Michelin/Repsol Recognition,"Mediterranean, Fusion",,,,,,,,,,,,,,
Etxeko Ibiza,Ibiza,Kevin ,Dash ,17865147601,prima+Etxekobiza@primavip.co,Santa Eulalia,Michelin/Repsol Recognition,"Spanish, Mediterranean",,,,,,,,,,,,,,
Maymanta,Ibiza,Kevin ,Dash ,17865147601,prima+Maymanta@primavip.co,Santa Eulalia,Rooftop,Peruvian,,,,,,,,,,,,,,
La Veranda (Atzaró),Ibiza,Kevin ,Dash ,17865147601,prima+LaVeranda@primavip.co,San Juan,Farm-to-Table,Mediterranean,,,,,,,,,,,,,,
Aiyanna,Ibiza,Kevin ,Dash ,17865147601,prima+Aiyanna@primavip.co,Santa Eulalia,On the Beach,Mediterranean,,,,,,,,,,,,,,
Cas Pagés,Ibiza,Kevin ,Dash ,17865147601,prima+CasPages@primavip.co,Santa Eulalia,,"Spanish, Grill",,,,,,,,,,,,,,
